model,problem_id,layer,cosine_similarity
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,0,0.9390484690666199
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,1,0.9723579287528992
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,2,0.9889148473739624
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,3,0.9768490791320801
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,4,0.9913294911384583
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,5,0.9915288686752319
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,6,0.990046501159668
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,7,0.985247790813446
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,8,0.9853450059890747
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,9,0.9846351742744446
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,10,0.9844366312026978
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,11,0.9818471670150757
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,12,0.9805557131767273
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,13,0.9776374697685242
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,14,0.9765558838844299
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,15,0.9719458818435669
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,16,0.9628652930259705
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,17,0.9539249539375305
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,18,0.9514814615249634
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,19,0.9547646045684814
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,20,0.9483647346496582
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,21,0.9648968577384949
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,22,0.9884911775588989
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,23,0.9877128601074219
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_1,24,0.9682081937789917
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,0,0.9251559972763062
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,1,0.9517925381660461
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,2,0.9786902070045471
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,3,0.9510465860366821
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,4,0.9825148582458496
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,5,0.9849305748939514
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,6,0.9809772968292236
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,7,0.9711228609085083
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,8,0.9716709852218628
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,9,0.9695038199424744
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,10,0.9679297208786011
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,11,0.9626988768577576
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,12,0.957898736000061
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,13,0.9522274732589722
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,14,0.9539707899093628
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,15,0.9412881731987
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,16,0.9303364753723145
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,17,0.9143843054771423
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,18,0.9023646712303162
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,19,0.9021562933921814
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,20,0.8957515954971313
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,21,0.9232689738273621
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,22,0.9768498539924622
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,23,0.9737973809242249
Qwen/Qwen2.5-0.5B-Instruct,arithmetic_2,24,0.9432703256607056
Qwen/Qwen2.5-0.5B-Instruct,logic_1,0,0.9583297967910767
Qwen/Qwen2.5-0.5B-Instruct,logic_1,1,0.9826982617378235
Qwen/Qwen2.5-0.5B-Instruct,logic_1,2,0.9927397966384888
Qwen/Qwen2.5-0.5B-Instruct,logic_1,3,0.986655056476593
Qwen/Qwen2.5-0.5B-Instruct,logic_1,4,0.995110809803009
Qwen/Qwen2.5-0.5B-Instruct,logic_1,5,0.9952459931373596
Qwen/Qwen2.5-0.5B-Instruct,logic_1,6,0.9944406747817993
Qwen/Qwen2.5-0.5B-Instruct,logic_1,7,0.9923950433731079
Qwen/Qwen2.5-0.5B-Instruct,logic_1,8,0.9919400811195374
Qwen/Qwen2.5-0.5B-Instruct,logic_1,9,0.9912835955619812
Qwen/Qwen2.5-0.5B-Instruct,logic_1,10,0.9912169575691223
Qwen/Qwen2.5-0.5B-Instruct,logic_1,11,0.989695131778717
Qwen/Qwen2.5-0.5B-Instruct,logic_1,12,0.9880462288856506
Qwen/Qwen2.5-0.5B-Instruct,logic_1,13,0.9870626926422119
Qwen/Qwen2.5-0.5B-Instruct,logic_1,14,0.9872586727142334
Qwen/Qwen2.5-0.5B-Instruct,logic_1,15,0.9834960699081421
Qwen/Qwen2.5-0.5B-Instruct,logic_1,16,0.9767360687255859
Qwen/Qwen2.5-0.5B-Instruct,logic_1,17,0.9720759987831116
Qwen/Qwen2.5-0.5B-Instruct,logic_1,18,0.970162034034729
Qwen/Qwen2.5-0.5B-Instruct,logic_1,19,0.9680159687995911
Qwen/Qwen2.5-0.5B-Instruct,logic_1,20,0.9654578566551208
Qwen/Qwen2.5-0.5B-Instruct,logic_1,21,0.9743170142173767
Qwen/Qwen2.5-0.5B-Instruct,logic_1,22,0.9914469718933105
Qwen/Qwen2.5-0.5B-Instruct,logic_1,23,0.9900646209716797
Qwen/Qwen2.5-0.5B-Instruct,logic_1,24,0.9806180000305176
Qwen/Qwen2.5-0.5B-Instruct,logic_2,0,0.9359754323959351
Qwen/Qwen2.5-0.5B-Instruct,logic_2,1,0.979199230670929
Qwen/Qwen2.5-0.5B-Instruct,logic_2,2,0.991326093673706
Qwen/Qwen2.5-0.5B-Instruct,logic_2,3,0.9826667904853821
Qwen/Qwen2.5-0.5B-Instruct,logic_2,4,0.9940895438194275
Qwen/Qwen2.5-0.5B-Instruct,logic_2,5,0.9939932823181152
Qwen/Qwen2.5-0.5B-Instruct,logic_2,6,0.9930078387260437
Qwen/Qwen2.5-0.5B-Instruct,logic_2,7,0.989668607711792
Qwen/Qwen2.5-0.5B-Instruct,logic_2,8,0.9892355799674988
Qwen/Qwen2.5-0.5B-Instruct,logic_2,9,0.988004744052887
Qwen/Qwen2.5-0.5B-Instruct,logic_2,10,0.9884490370750427
Qwen/Qwen2.5-0.5B-Instruct,logic_2,11,0.985826849937439
Qwen/Qwen2.5-0.5B-Instruct,logic_2,12,0.9843876957893372
Qwen/Qwen2.5-0.5B-Instruct,logic_2,13,0.9818859696388245
Qwen/Qwen2.5-0.5B-Instruct,logic_2,14,0.9815372824668884
Qwen/Qwen2.5-0.5B-Instruct,logic_2,15,0.9767186641693115
Qwen/Qwen2.5-0.5B-Instruct,logic_2,16,0.9682923555374146
Qwen/Qwen2.5-0.5B-Instruct,logic_2,17,0.962267279624939
Qwen/Qwen2.5-0.5B-Instruct,logic_2,18,0.9590173363685608
Qwen/Qwen2.5-0.5B-Instruct,logic_2,19,0.9560508131980896
Qwen/Qwen2.5-0.5B-Instruct,logic_2,20,0.950680673122406
Qwen/Qwen2.5-0.5B-Instruct,logic_2,21,0.9619461297988892
Qwen/Qwen2.5-0.5B-Instruct,logic_2,22,0.9860044717788696
Qwen/Qwen2.5-0.5B-Instruct,logic_2,23,0.985149621963501
Qwen/Qwen2.5-0.5B-Instruct,logic_2,24,0.9646005034446716
Qwen/Qwen2.5-0.5B-Instruct,probability_1,0,0.8747543096542358
Qwen/Qwen2.5-0.5B-Instruct,probability_1,1,0.9553626179695129
Qwen/Qwen2.5-0.5B-Instruct,probability_1,2,0.9808602333068848
Qwen/Qwen2.5-0.5B-Instruct,probability_1,3,0.9738140106201172
Qwen/Qwen2.5-0.5B-Instruct,probability_1,4,0.9913985133171082
Qwen/Qwen2.5-0.5B-Instruct,probability_1,5,0.9915566444396973
Qwen/Qwen2.5-0.5B-Instruct,probability_1,6,0.9899557828903198
Qwen/Qwen2.5-0.5B-Instruct,probability_1,7,0.9860222339630127
Qwen/Qwen2.5-0.5B-Instruct,probability_1,8,0.9855104088783264
Qwen/Qwen2.5-0.5B-Instruct,probability_1,9,0.9841418266296387
Qwen/Qwen2.5-0.5B-Instruct,probability_1,10,0.9837328791618347
Qwen/Qwen2.5-0.5B-Instruct,probability_1,11,0.9797431230545044
Qwen/Qwen2.5-0.5B-Instruct,probability_1,12,0.9781379103660583
Qwen/Qwen2.5-0.5B-Instruct,probability_1,13,0.9748608469963074
Qwen/Qwen2.5-0.5B-Instruct,probability_1,14,0.9761534333229065
Qwen/Qwen2.5-0.5B-Instruct,probability_1,15,0.9695748090744019
Qwen/Qwen2.5-0.5B-Instruct,probability_1,16,0.9559022188186646
Qwen/Qwen2.5-0.5B-Instruct,probability_1,17,0.9447352886199951
Qwen/Qwen2.5-0.5B-Instruct,probability_1,18,0.9419034719467163
Qwen/Qwen2.5-0.5B-Instruct,probability_1,19,0.9405484199523926
Qwen/Qwen2.5-0.5B-Instruct,probability_1,20,0.9312576055526733
Qwen/Qwen2.5-0.5B-Instruct,probability_1,21,0.9452272653579712
Qwen/Qwen2.5-0.5B-Instruct,probability_1,22,0.9812778234481812
Qwen/Qwen2.5-0.5B-Instruct,probability_1,23,0.9798700213432312
Qwen/Qwen2.5-0.5B-Instruct,probability_1,24,0.9538788199424744
Qwen/Qwen2.5-0.5B-Instruct,probability_2,0,0.9317183494567871
Qwen/Qwen2.5-0.5B-Instruct,probability_2,1,0.9780176877975464
Qwen/Qwen2.5-0.5B-Instruct,probability_2,2,0.991192102432251
Qwen/Qwen2.5-0.5B-Instruct,probability_2,3,0.9828295707702637
Qwen/Qwen2.5-0.5B-Instruct,probability_2,4,0.9937765598297119
Qwen/Qwen2.5-0.5B-Instruct,probability_2,5,0.9937844276428223
